table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db,r2_own_c,r2_parent_c,r2_child_c,parent_lift,child_lift
table_1,feature_2,650,14,8,28,-0.1399921038630716,-0.1489685112709224,0.7525589845102372,plurel,plurel-119/db,-0.1399921038630716,-0.1489685112709224,0.7525589845102372,-0.0089764074078508,0.8925510883733088
table_1,feature_3,650,14,8,28,-0.2894822232026468,-0.3267823057411518,-0.2276414545693781,plurel,plurel-119/db,-0.2894822232026468,-0.3267823057411518,-0.2276414545693781,-0.037300082538504975,0.06184076863326873
table_4,feature_2,605,5,8,31,-0.220516735083091,-0.3731573493780895,-0.3158201084457415,plurel,plurel-119/db,-0.220516735083091,-0.3731573493780895,-0.3158201084457415,-0.15264061429499848,-0.09530337336265049
table_0,feature_9,768,14,4,34,-0.2505240813292395,-0.1361007779005889,-0.1625874592616156,plurel,plurel-12/db,-0.2505240813292395,-0.1361007779005889,-0.1625874592616156,0.11442330342865059,0.08793662206762387
table_4,feature_15,2907,18,46,0,0.9981252681916496,0.998800909566766,,plurel,plurel-12/db,0.9981252681916496,0.998800909566766,,0.0006756413751164425,
table_10,feature_12,3723,14,29,0,-0.140336263193233,-0.1025790277476452,,plurel,plurel-12/db,-0.140336263193233,-0.1025790277476452,,0.0377572354455878,
table_2,feature_10,881,10,0,22,-0.0311921024948254,,0.0974754366594207,plurel,plurel-120/db,-0.0311921024948254,,0.0974754366594207,,0.12866753915424609
table_6,feature_11,849,21,0,7,0.9056490126635178,,0.9223727924076592,plurel,plurel-120/db,0.9056490126635178,,0.9223727924076592,,0.01672377974414141
table_7,feature_21,2051,26,11,0,0.8336986187760256,0.9310244050233571,,plurel,plurel-120/db,0.8336986187760256,0.9310244050233571,,0.09732578624733157,
table_1,feature_2,732,10,0,16,-0.3037603199178147,,-0.3581216190398411,plurel,plurel-121/db,-0.3037603199178147,,-0.3581216190398411,,-0.05436129912202636
table_4,feature_19,3645,21,20,0,-0.1058566748026832,-0.0791530399478757,,plurel,plurel-121/db,-0.1058566748026832,-0.0791530399478757,,0.026703634854807493,
table_2,feature_3,725,4,12,13,-0.2709526846444314,-0.3081227415132406,-0.3142358921539585,plurel,plurel-121/db,-0.2709526846444314,-0.3081227415132406,-0.3142358921539585,-0.0371700568688092,-0.04328320750952708
table_3,feature_1,946,6,11,65,0.9932177952476527,0.9926087331034736,0.9920803131175197,plurel,plurel-122/db,0.9932177952476527,0.9926087331034736,0.9920803131175197,-0.0006090621441791066,-0.001137482130133094
table_11,feature_15,710,26,13,10,0.9750416108901584,0.9738322575054776,0.9752003289159016,plurel,plurel-122/db,0.9750416108901584,0.9738322575054776,0.9752003289159016,-0.0012093533846807558,0.0001587180257431875
table_16,feature_10,653,13,10,34,0.7965978483133188,0.8881040225996298,0.7537411020812654,plurel,plurel-122/db,0.7965978483133188,0.8881040225996298,0.7537411020812654,0.09150617428631103,-0.04285674623205338
table_9,feature_5,789,5,0,7,-0.2271982823999929,,-0.1703323418606375,plurel,plurel-123/db,-0.2271982823999929,,-0.1703323418606375,,0.0568659405393554
table_0,feature_2,898,3,0,44,-0.1263412805639965,,-0.2421060580809553,plurel,plurel-123/db,-0.1263412805639965,,-0.2421060580809553,,-0.11576477751695882
