table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db
table_10,feature_34,846,38,7,0,-0.13364854449621988,-0.12575893629931345,,plurel,plurel-116/db
table_3,feature_3,489,5,11,10,0.7049137431252881,0.7301986898496897,0.6617460678789043,plurel,plurel-116/db
table_16,feature_1,787,27,33,13,0.04570807759481388,0.22377375842925462,0.03501061247172044,plurel,plurel-117/db
table_15,feature_4,653,14,0,16,-0.2657188438740421,,-0.25501156696715355,plurel,plurel-117/db
table_5,feature_8,859,10,33,13,0.45744222848622296,0.4332972872387182,0.4243945086650275,plurel,plurel-117/db
table_0,feature_14,3692,14,4,0,0.36258448601247406,0.37033797099170584,,plurel,plurel-118/db
table_1,feature_0,797,2,0,41,-0.01981861219799641,,0.8832555640510977,plurel,plurel-118/db
table_0,feature_10,3697,14,4,0,0.9837095633609457,0.9940753872665651,,plurel,plurel-118/db
table_1,feature_2,650,14,8,28,-0.1399921038630716,-0.14896851127092248,0.7525589845102372,plurel,plurel-119/db
table_1,feature_3,650,14,8,28,-0.2894822232026468,-0.32678230574115186,-0.22764145456937812,plurel,plurel-119/db
table_4,feature_2,605,5,8,31,-0.220516735083091,-0.37315734937808953,-0.3158201084457415,plurel,plurel-119/db
table_0,feature_9,768,14,4,34,-0.25052408132923953,-0.13610077790058894,-0.16258745926161566,plurel,plurel-12/db
table_4,feature_15,2907,18,46,0,0.9981252681916495,0.9988009095667661,,plurel,plurel-12/db
table_10,feature_12,3723,14,29,0,-0.140336263193233,-0.10257902774764527,,plurel,plurel-12/db
table_2,feature_10,881,10,0,22,-0.031192102494825402,,0.09747543665942071,plurel,plurel-120/db
table_6,feature_11,849,21,0,7,0.9056490126635178,,0.9223727924076591,plurel,plurel-120/db
table_7,feature_21,2051,26,11,0,0.8336986187760256,0.9310244050233571,,plurel,plurel-120/db
table_1,feature_2,732,10,0,16,-0.3037603199178147,,-0.3581216190398411,plurel,plurel-121/db
table_4,feature_19,3645,21,20,0,-0.10585667480268324,-0.0791530399478757,,plurel,plurel-121/db
table_2,feature_3,725,4,12,13,-0.27095268464443145,-0.3081227415132406,-0.31423589215395853,plurel,plurel-121/db
table_3,feature_1,946,6,11,65,0.9932177952476527,0.9926087331034735,0.9920803131175195,plurel,plurel-122/db
table_11,feature_15,710,26,13,10,0.9750416108901585,0.9738322575054777,0.9752003289159015,plurel,plurel-122/db
table_16,feature_10,653,13,10,34,0.7965978483133188,0.8881040225996298,0.7537411020812654,plurel,plurel-122/db
table_9,feature_5,789,5,0,7,-0.22719828239999296,,-0.1703323418606375,plurel,plurel-123/db
table_0,feature_2,898,3,0,44,-0.12634128056399652,,-0.2421060580809553,plurel,plurel-123/db
table_15,feature_7,848,19,0,29,0.4018777520789013,,0.4035787948583135,plurel,plurel-123/db
table_0,feature_11,822,15,0,121,-0.23828242511639197,,0.9190366777721644,plurel,plurel-124/db
table_0,feature_0,822,15,0,121,-0.24830643197276947,,-0.12358124870839737,plurel,plurel-124/db
table_12,feature_22,792,16,33,0,0.8960753949846918,0.8929393981166133,,plurel,plurel-124/db
table_0,feature_2,570,4,0,54,-0.188052921767351,,0.7647986884881943,plurel,plurel-125/db
table_1,feature_0,3730,6,22,0,0.9072000269297901,0.9660499823813592,,plurel,plurel-125/db
table_2,feature_10,640,13,6,26,0.5508142680379188,0.539032848734613,0.9812309979570913,plurel,plurel-125/db
table_0,feature_1,2168,7,21,0,-0.1918287626872328,-0.18235878090365443,,plurel,plurel-126/db
table_5,feature_14,544,14,0,52,0.921968168004242,,0.9266582779578447,plurel,plurel-126/db
table_5,feature_0,544,14,0,52,0.5393772509703509,,0.784313536204257,plurel,plurel-126/db
table_7,feature_0,534,6,0,31,0.4166881444426762,,0.2648448156816833,plurel,plurel-127/db
table_9,feature_11,796,14,9,0,0.6520808508116376,0.7777124822406497,,plurel,plurel-129/db
table_6,feature_10,718,4,6,26,0.9700172670663406,0.9622881464615459,0.9620376656857051,plurel,plurel-129/db
table_1,feature_2,516,7,0,63,0.9770755947002548,,0.9759461794936011,plurel,plurel-129/db
table_7,feature_3,915,18,25,13,0.22150289491677766,0.21386360272997706,0.23791298932737703,plurel,plurel-13/db
table_18,feature_3,3684,4,8,0,-0.1251484403927552,-0.1545085485616191,,plurel,plurel-13/db
table_17,feature_3,608,5,18,13,-0.31426534053357646,-0.17628862106071286,-0.4014806603053285,plurel,plurel-13/db
table_2,feature_5,3685,5,26,0,0.9328117483550737,0.9990796538300203,,plurel,plurel-130/db
table_5,feature_13,796,20,19,22,0.9037120636329358,0.9286855099207174,0.8991097913749332,plurel,plurel-130/db
table_0,feature_17,1895,19,31,0,0.8889441400476875,0.916835843957622,,plurel,plurel-131/db
table_12,feature_4,1872,21,36,0,0.9874439798365694,0.9974414382303046,,plurel,plurel-131/db
table_4,feature_19,497,20,39,40,0.16610589942650467,0.12077189865955429,0.7375597813726988,plurel,plurel-131/db
table_1,feature_13,2842,25,13,0,0.24342120068057616,0.26559751150072564,,plurel,plurel-132/db
table_0,feature_5,679,7,0,87,0.14108614216804383,,0.07835776266422678,plurel,plurel-132/db
table_1,feature_8,2842,25,13,0,0.9984993177409857,0.9987433804315193,,plurel,plurel-132/db
table_0,feature_16,649,24,0,31,-0.14070215575689726,,0.5091766016322355,plurel,plurel-133/db
table_1,feature_1,3591,9,9,0,0.9965282417046988,0.9992688263495907,,plurel,plurel-133/db
table_3,feature_10,804,9,26,16,0.4033930785675196,0.40597507260259424,0.40800603343441877,plurel,plurel-133/db
table_0,feature_2,2584,22,0,61,0.7679345774035284,,0.7596341801432791,rdbpfn,large_woGNN/dag_rdb_1004
table_0,feature_18,2584,22,0,61,0.7370800476672419,,0.7336307885826054,rdbpfn,large_woGNN/dag_rdb_1004
table_2,feature_8,4000,11,20,64,0.9487397950464745,0.9609682870131594,0.9393546901601102,rdbpfn,large_woGNN/dag_rdb_1004
table_2,feature_14,1070,22,21,0,0.13747088511634575,0.16825701501089074,,rdbpfn,large_woGNN/dag_rdb_1005
table_1,feature_6,1055,20,21,0,0.9442660641323974,0.9413503795623137,,rdbpfn,large_woGNN/dag_rdb_1005
table_4,feature_8,1144,12,37,0,0.8184179508019988,0.8064342224388666,,rdbpfn,large_woGNN/dag_rdb_1005
table_1,feature_18,1690,21,12,40,0.34351907002280346,0.3350073523574919,0.3620136154663812,rdbpfn,large_woGNN/dag_rdb_1006
table_1,feature_4,1690,21,12,40,0.5015244225040983,0.519299947431614,0.5040890890579951,rdbpfn,large_woGNN/dag_rdb_1006
table_1,feature_12,1690,21,12,40,0.24614808514345277,0.2606073190069791,0.24942569482951027,rdbpfn,large_woGNN/dag_rdb_1006
table_2,feature_10,2211,18,24,0,0.6191440410452236,0.584275023931604,,rdbpfn,large_woGNN/dag_rdb_1007
table_1,feature_0,2082,20,24,0,0.9001386388031604,0.8979641003776092,,rdbpfn,large_woGNN/dag_rdb_1007
table_1,feature_12,2082,20,24,0,0.7363264561822824,0.7030222735243807,,rdbpfn,large_woGNN/dag_rdb_1007
table_1,feature_6,1001,15,23,0,0.6572486467718142,0.7231799478590111,,rdbpfn,large_woGNN/dag_rdb_1008
table_0,feature_0,1128,22,0,92,0.8014648232721419,,0.7901870258856187,rdbpfn,large_woGNN/dag_rdb_1008
table_1,feature_0,1001,15,23,0,0.4050647400363643,0.5325395068958008,,rdbpfn,large_woGNN/dag_rdb_1008
table_4,feature_4,1075,13,24,0,-0.1336796803286595,-0.15953794342514738,,rdbpfn,large_woGNN/dag_rdb_1009
table_1,feature_6,1745,11,0,119,0.20852584582882194,,0.15202218413118607,rdbpfn,large_woGNN/dag_rdb_1009
table_0,feature_8,1000,11,0,159,0.8719929074944018,,0.8674002120860627,rdbpfn,large_woGNN/dag_rdb_1009
table_2,feature_4,2223,11,12,40,0.7675558547074791,0.7578555958517899,0.7631396377146034,rdbpfn,large_woGNN/dag_rdb_500
table_5,feature_2,4000,11,14,0,0.146945078211565,0.15428280097440916,,rdbpfn,large_woGNN/dag_rdb_500
table_1,feature_6,4000,11,0,83,0.08030331811171876,,0.06390201517229743,rdbpfn,large_woGNN/dag_rdb_500
table_3,feature_10,4000,11,15,0,-0.07187919107200269,-0.10769323835546629,,rdbpfn,large_woGNN/dag_rdb_501
table_0,feature_8,1066,14,0,221,0.09060912695452672,,0.079013037163714,rdbpfn,large_woGNN/dag_rdb_501
table_4,feature_10,4000,11,15,0,0.8609586142815268,0.8960634399799379,,rdbpfn,large_woGNN/dag_rdb_501
table_0,feature_0,2992,11,0,86,0.8051709982706,,0.7935986542528244,rdbpfn,large_woGNN/dag_rdb_502
table_3,feature_4,2403,11,31,0,-0.194056304173698,-0.11226330157919384,,rdbpfn,large_woGNN/dag_rdb_502
table_1,feature_4,4000,18,0,86,0.5117380889406457,,0.49980207990344716,rdbpfn,large_woGNN/dag_rdb_502
table_2,feature_6,1204,11,24,0,0.27527827811032957,0.2980326377643103,,rdbpfn,large_woGNN/dag_rdb_503
table_1,feature_8,1000,11,0,43,0.7629714487980853,,0.7517256934828589,rdbpfn,large_woGNN/dag_rdb_503
table_1,feature_4,1000,11,0,43,0.7648287728881478,,0.7320699223207747,rdbpfn,large_woGNN/dag_rdb_503
table_5,feature_2,1028,11,18,178,0.5266344773685381,0.5065685727278539,0.5257772516716317,rdbpfn,large_woGNN/dag_rdb_504
table_6,feature_8,1000,11,16,0,0.7820274237921098,0.7773746383343971,,rdbpfn,large_woGNN/dag_rdb_504
table_4,feature_20,1056,22,16,0,0.9634442323684806,0.9631317354057705,,rdbpfn,large_woGNN/dag_rdb_504
table_0,feature_16,3602,19,0,140,0.6660978167695292,,0.661186198218783,rdbpfn,large_woGNN/dag_rdb_505
