table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db
constructor_standings,points,2951,2,6,0,0.8478385462126362,0.9394081698551333,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample3
standings,position,4000,2,7,0,0.4501076670858134,0.7245726978386138,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample4
results,number,3995,7,8,0,0.005570907701178629,0.09667900383507688,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample4
results,position,2001,7,8,0,0.7623400991977811,0.748634217917096,,reldiff,synthetic/rel-f1_ref35/RelDiff/sample4
VisitStream,IPID,4000,1,4,0,0.040979453899917195,0.05592976782250858,,reldiff,synthetic/rel-avito_ref35/RelDiff/sample1
AdsInfo,CategoryID,4000,3,0,30,-0.021894696252575008,,-0.039712481038859604,reldiff,synthetic/rel-avito_ref35/RelDiff/sample1
PhoneRequestsStream,IPID,4000,1,4,0,0.13692396359035441,0.21624205260683182,,reldiff,synthetic/rel-avito_ref35/RelDiff/sample1
Location,RegionID,1401,2,0,16,0.010611886073441767,,-0.0977707558556471,reldiff,synthetic/rel-avito_ref35/RelDiff/sample2
VisitStream,IPID,4000,1,4,0,0.024724513400956383,0.04237928064988772,,reldiff,synthetic/rel-avito_ref35/RelDiff/sample2
Location,CityID,1401,2,0,16,0.018975857374584515,,-0.1708757388803397,reldiff,synthetic/rel-avito_ref35/RelDiff/sample2
AdsInfo,CategoryID,4000,3,0,30,-0.021894696252575008,,-0.024272137728517995,reldiff,synthetic/rel-avito_ref35/RelDiff/sample3
PhoneRequestsStream,UserID,3999,1,4,0,-0.03454961512390953,0.051286111312545124,,reldiff,synthetic/rel-avito_ref35/RelDiff/sample3
Location,CityID,1401,2,0,16,0.018975857374584515,,-0.12379953427550427,reldiff,synthetic/rel-avito_ref35/RelDiff/sample3
SearchInfo,UserID,3994,2,6,16,-0.048057685633841274,0.01773931800548345,-0.10458057115616959,reldiff,synthetic/rel-avito_ref35/RelDiff/sample4
SearchInfo,IPID,4000,2,6,16,0.042332410484446026,0.10413766095545807,-0.021890766969937303,reldiff,synthetic/rel-avito_ref35/RelDiff/sample4
VisitStream,IPID,4000,1,4,0,0.01813280488688318,0.05108675146786301,,reldiff,synthetic/rel-avito_ref35/RelDiff/sample4
article,section_no,4000,20,0,10,0.996390376219209,,0.9950544179396335,reldiff,synthetic/rel-hm_ref35/RelDiff/sample1
article,graphical_appearance_no,4000,20,0,10,-0.0016764720641511133,,-0.0016764682098504569,reldiff,synthetic/rel-hm_ref35/RelDiff/sample1
article,product_code,4000,20,0,10,0.1330704851068738,,0.15413063945791017,reldiff,synthetic/rel-hm_ref35/RelDiff/sample1
transactions,price,4000,2,26,0,-0.008203850645698063,0.5021289893341283,,reldiff,synthetic/rel-hm_ref35/RelDiff/sample2
article,garment_group_no,4000,20,0,10,0.9937899391504695,,0.9926683194719853,reldiff,synthetic/rel-hm_ref35/RelDiff/sample2
article,graphical_appearance_no,4000,20,0,10,-0.0016764720641511133,,-0.0016763454079551376,reldiff,synthetic/rel-hm_ref35/RelDiff/sample2
article,product_type_no,4000,20,0,10,0.8581709480676636,,0.8570659296932552,reldiff,synthetic/rel-hm_ref35/RelDiff/sample3
article,garment_group_no,4000,20,0,10,0.9937899391504695,,0.9928542796639217,reldiff,synthetic/rel-hm_ref35/RelDiff/sample3
article,colour_group_code,4000,20,0,10,0.9868047119149341,,0.9862767529911777,reldiff,synthetic/rel-hm_ref35/RelDiff/sample3
article,garment_group_no,4000,20,0,10,0.9937899391504695,,0.9928195123902959,reldiff,synthetic/rel-hm_ref35/RelDiff/sample4
article,section_no,4000,20,0,10,0.996390376219209,,0.995295330662807,reldiff,synthetic/rel-hm_ref35/RelDiff/sample4
article,colour_group_code,4000,20,0,10,0.9868047119149341,,0.9871864373152707,reldiff,synthetic/rel-hm_ref35/RelDiff/sample4
designs,id,4000,12,0,46,-0.03377073454701063,,-0.006889781540374562,reldiff,synthetic/rel-trial_ref35/RelDiff/sample1
outcome_analyses,dispersion_value,862,17,13,0,-0.10507481446019962,-0.027343882413780385,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample1
outcome_analyses,outcome_id,4000,14,13,0,0.15952554081611836,0.33051117293735766,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample1
outcome_analyses,ci_percent,3626,14,13,0,-0.047602406654939644,-0.02145532959272267,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample2
outcome_analyses,param_value,3257,15,13,0,-0.031111771951794376,-0.017727705693464824,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample2
outcome_analyses,dispersion_value,890,17,13,0,-0.18213959073685548,-0.16660219629230055,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample2
outcome_analyses,ci_lower_limit,3152,15,13,0,-0.07185862713313806,-0.06979345406992321,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample3
outcome_analyses,dispersion_value,855,17,13,0,-0.06986414463602686,-0.11170484969821493,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample3
designs,id,4000,12,0,46,-0.023476779340599885,,0.021972586690426676,reldiff,synthetic/rel-trial_ref35/RelDiff/sample3
outcome_analyses,ci_upper_limit,3129,15,13,0,-0.3241525032871233,-0.39965987806486214,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample4
outcome_analyses,dispersion_value,907,17,13,0,-0.316407439413527,-0.337353288677428,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample4
sponsors_studies,nct_id,4000,1,1,0,-0.003179012253892388,0.01558722238879462,,reldiff,synthetic/rel-trial_ref35/RelDiff/sample4
SearchInfo,IPID,4000,2,16,16,-0.08382846795044352,-0.12841041343989912,-0.12105131100487476,grdm,synthetic/rel-avito_ref35/sample0
UserInfo,UserAgentFamilyID,4000,7,0,32,0.7400351723459582,,0.7169002713393029,grdm,synthetic/rel-avito_ref35/sample0
Location,CityID,3512,4,0,35,0.001195522680242922,,-0.09425148214743473,grdm,synthetic/rel-avito_ref35/sample0
VisitStream,IPID,3911,1,13,0,-0.065349092018117,-0.08630395157620674,,grdm,synthetic/rel-avito_ref35/sample1
UserInfo,UserAgentFamilyID,1768,7,0,45,0.6927367752759235,,0.5737468682318223,grdm,synthetic/rel-avito_ref35/sample1
UserInfo,UserAgentID,1768,7,0,45,0.09155146096136979,,-0.05845029793471279,grdm,synthetic/rel-avito_ref35/sample1
Location,RegionID,379,4,0,35,-0.20691530051989937,,-0.22483981350165583,grdm,synthetic/rel-avito_ref35/sample10
SearchStream,SearchDate,965,2,11,0,-0.011374784767321122,0.9977373609886624,,grdm,synthetic/rel-avito_ref35/sample10
Location,CityID,379,4,0,35,-0.03614056221245776,,-0.5732712896635364,grdm,synthetic/rel-avito_ref35/sample10
PhoneRequestsStream,PhoneRequestDate,996,1,13,0,-0.11214162437918995,-0.1881310469132853,,grdm,synthetic/rel-avito_ref35/sample100
SearchStream,SearchDate,772,2,11,0,-0.006315184665966145,0.9971651012317059,,grdm,synthetic/rel-avito_ref35/sample100
AdsInfo,Price,4000,2,8,29,-0.0002911523654050008,0.07535272197098386,0.0007948180333374744,grdm,synthetic/rel-avito_ref35/sample100
SearchInfo,SearchDate,4000,2,16,16,-0.056104058184067274,-0.12113866813790386,0.05712246998690951,grdm,synthetic/rel-avito_ref35/sample101
SearchInfo,IPID,4000,2,16,16,-0.08174232539565329,-0.08608654504215885,-0.07861886993337541,grdm,synthetic/rel-avito_ref35/sample101
Location,CityID,540,4,0,35,0.05374590401342483,,-0.22998008083934884,grdm,synthetic/rel-avito_ref35/sample101
UserInfo,UserAgentOSID,1499,7,0,32,0.7195585055503411,,0.5450280255760414,grdm,synthetic/rel-avito_ref35/sample102
PhoneRequestsStream,PhoneRequestDate,1026,1,13,0,-0.16522038016428198,-0.2820839672336406,,grdm,synthetic/rel-avito_ref35/sample102
SearchInfo,IPID,4000,2,16,0,-0.059064142080641036,-0.07924649244570303,,grdm,synthetic/rel-avito_ref35/sample102
PhoneRequestsStream,PhoneRequestDate,1741,1,13,0,-0.09585660540637542,-0.23293846775597782,,grdm,synthetic/rel-avito_ref35/sample103
SearchInfo,SearchDate,4000,2,16,16,-0.0819239451628524,-0.13317580192197798,0.004701748532293437,grdm,synthetic/rel-avito_ref35/sample103
Location,RegionID,410,4,0,35,0.03314409552794295,,-0.11922963970107792,grdm,synthetic/rel-avito_ref35/sample103
AdsInfo,Price,4000,2,8,42,-0.00026347282198857513,0.054025214579034975,0.04961825335272996,grdm,synthetic/rel-avito_ref35/sample104
SearchStream,SearchDate,1336,2,11,0,0.004337214257451816,0.9973668387992476,,grdm,synthetic/rel-avito_ref35/sample104
PhoneRequestsStream,PhoneRequestDate,1333,1,13,0,-0.10965039164540924,-0.21989928185487662,,grdm,synthetic/rel-avito_ref35/sample104
SearchInfo,SearchDate,4000,2,16,16,-0.07304979938576328,-0.11063162033698659,0.04118898140306704,grdm,synthetic/rel-avito_ref35/sample105
AdsInfo,Price,4000,2,8,29,-0.22913792248953313,-3.449923249322522,-0.3275158528160935,grdm,synthetic/rel-avito_ref35/sample105
Location,CityID,511,4,0,35,-0.010523711222472532,,-0.12328926964609077,grdm,synthetic/rel-avito_ref35/sample105
Location,CityID,375,4,0,35,0.009817495362876127,,-0.1269403795229873,grdm,synthetic/rel-avito_ref35/sample106
Location,RegionID,375,4,0,35,-0.016683964697316478,,-0.14199376775496808,grdm,synthetic/rel-avito_ref35/sample106
AdsInfo,Price,4000,2,8,13,-0.11286862634514216,-14.892889648908522,-0.22996443895444174,grdm,synthetic/rel-avito_ref35/sample106
UserInfo,UserDeviceID,1982,7,0,32,0.039094553538368215,,0.13082564103454863,grdm,synthetic/rel-avito_ref35/sample107
AdsInfo,Price,4000,2,8,29,-0.0008558084860430526,-0.0010105491866996275,-0.0008021292996192031,grdm,synthetic/rel-avito_ref35/sample107
SearchStream,SearchDate,1006,2,11,0,-0.020843537570873094,0.9978541789279219,,grdm,synthetic/rel-avito_ref35/sample107
UserInfo,UserAgentOSID,2139,7,0,32,0.7238298946625119,,0.673279397135305,grdm,synthetic/rel-avito_ref35/sample108
PhoneRequestsStream,IPID,880,1,13,0,-0.11008258707198748,-0.2836557384581009,,grdm,synthetic/rel-avito_ref35/sample108
UserInfo,UserDeviceID,2139,7,0,32,-0.1661751077747975,,-0.06650766112575157,grdm,synthetic/rel-avito_ref35/sample108
UserInfo,UserAgentID,1741,7,0,32,0.11102254884840601,,-0.14353604650043073,grdm,synthetic/rel-avito_ref35/sample109
SearchStream,SearchDate,635,2,11,0,-0.018394076082284272,0.9970823446990097,,grdm,synthetic/rel-avito_ref35/sample109
PhoneRequestsStream,IPID,890,1,13,0,-0.12464085304680261,-0.23545136083369322,,grdm,synthetic/rel-avito_ref35/sample109
VisitStream,IPID,4000,1,13,0,-0.0657600945905279,-0.11582314423277973,,grdm,synthetic/rel-avito_ref35/sample11
UserInfo,UserDeviceID,2357,7,0,45,0.136903494260596,,-0.05643653734483833,grdm,synthetic/rel-avito_ref35/sample11
UserInfo,UserAgentFamilyID,2357,7,0,45,0.6615011279806295,,0.5858841995400272,grdm,synthetic/rel-avito_ref35/sample11
UserInfo,UserAgentID,2556,7,0,32,0.0733782787416194,,-0.07717353608162036,grdm,synthetic/rel-avito_ref35/sample110
VisitStream,ViewDate,4000,1,13,0,-0.06963854100979994,-0.15390849761079606,,grdm,synthetic/rel-avito_ref35/sample110
UserInfo,UserAgentOSID,2556,7,0,32,0.7120952216410229,,0.6801190279654523,grdm,synthetic/rel-avito_ref35/sample110
UserInfo,UserAgentFamilyID,1997,7,0,32,0.7107320527663925,,0.5917149061415689,grdm,synthetic/rel-avito_ref35/sample111
AdsInfo,Price,4000,2,8,29,-0.006701509212928336,-0.12831542129349383,-0.02340164154347435,grdm,synthetic/rel-avito_ref35/sample111
VisitStream,IPID,3331,1,13,0,-0.05557001412529661,-0.15198279792173053,,grdm,synthetic/rel-avito_ref35/sample111
AdsInfo,Price,4000,2,8,29,-0.03629824241369839,-9.312298671559486,-0.09675440911064848,grdm,synthetic/rel-avito_ref35/sample112
VisitStream,IPID,4000,1,13,0,-0.06584956897961458,-0.11752502008176524,,grdm,synthetic/rel-avito_ref35/sample112
UserInfo,UserAgentOSID,2230,7,0,32,0.7281016134048256,,0.606063662193133,grdm,synthetic/rel-avito_ref35/sample112
SearchInfo,IPID,4000,2,16,16,-0.04788970348330612,-0.09865133256822523,-0.06429920528194066,grdm,synthetic/rel-avito_ref35/sample113
PhoneRequestsStream,PhoneRequestDate,1749,1,13,0,-0.07935832497593887,-0.17728180952598005,,grdm,synthetic/rel-avito_ref35/sample113
UserInfo,UserDeviceID,2752,7,0,45,-0.03976778869558384,,-0.1323578453158012,grdm,synthetic/rel-avito_ref35/sample113
UserInfo,UserDeviceID,1622,7,0,45,-0.03944261116346848,,-0.2504052401449428,grdm,synthetic/rel-avito_ref35/sample114
AdsInfo,Price,4000,2,8,42,-0.0008333253916450456,-0.0008300621432499877,-0.0008365773945873123,grdm,synthetic/rel-avito_ref35/sample114
PhoneRequestsStream,IPID,834,1,13,0,-0.057029054778163335,-0.3166292397229451,,grdm,synthetic/rel-avito_ref35/sample114
AdsInfo,Price,4000,2,8,29,-0.0015553431149830654,0.12423964251984321,-0.07045120948682748,grdm,synthetic/rel-avito_ref35/sample115
VisitStream,IPID,4000,1,13,0,-0.05267284456289634,-0.11012452425520713,,grdm,synthetic/rel-avito_ref35/sample115
SearchInfo,SearchDate,4000,2,16,16,-0.07120782749832055,-0.0940298767568637,0.03241184118274976,grdm,synthetic/rel-avito_ref35/sample115
UserInfo,UserDeviceID,2395,7,0,32,0.17018626414421922,,0.0070051450802440796,grdm,synthetic/rel-avito_ref35/sample116
UserInfo,UserAgentFamilyID,2395,7,0,32,0.7538488582526905,,0.6426665434238774,grdm,synthetic/rel-avito_ref35/sample116
Location,CityID,421,4,0,35,0.002349873413762582,,-0.0958438886153461,grdm,synthetic/rel-avito_ref35/sample116
UserInfo,UserAgentOSID,1633,7,0,32,0.7334353844098591,,0.5947813149210868,grdm,synthetic/rel-avito_ref35/sample117
UserInfo,UserAgentFamilyID,1633,7,0,32,0.6143699221709484,,0.5230467770983033,grdm,synthetic/rel-avito_ref35/sample117
Location,RegionID,302,4,0,35,0.018571385690682285,,-0.20668859272432227,grdm,synthetic/rel-avito_ref35/sample117
UserInfo,UserAgentFamilyID,2012,7,0,32,0.718296440002417,,0.5877875598910907,grdm,synthetic/rel-avito_ref35/sample118
SearchStream,SearchDate,669,2,11,0,-0.008056236980949816,0.9977229582054234,,grdm,synthetic/rel-avito_ref35/sample118
UserInfo,UserAgentID,2012,7,0,32,0.06720539323571095,,-0.12282738338935051,grdm,synthetic/rel-avito_ref35/sample118
UserInfo,UserAgentOSID,2440,7,0,45,0.7673232578320258,,0.6613641518245766,grdm,synthetic/rel-avito_ref35/sample119
Location,CityID,508,4,0,35,0.06553121961998931,,-0.15494546135514575,grdm,synthetic/rel-avito_ref35/sample119
UserInfo,UserDeviceID,2440,7,0,45,0.05122435029773298,,-0.008598793572116126,grdm,synthetic/rel-avito_ref35/sample119
UserInfo,UserDeviceID,2697,7,0,45,0.21172666730567236,,-0.13100642466032952,grdm,synthetic/rel-avito_ref35/sample12
UserInfo,UserAgentID,2697,7,0,45,0.07952929911007489,,-0.0529634041937328,grdm,synthetic/rel-avito_ref35/sample12
VisitStream,IPID,4000,1,13,0,-0.06245162234693025,-0.14933893518486907,,grdm,synthetic/rel-avito_ref35/sample12
Location,RegionID,494,4,0,35,0.005791081094898121,,-0.11195344942146557,grdm,synthetic/rel-avito_ref35/sample120
UserInfo,UserAgentFamilyID,2422,7,0,32,0.7685040197538917,,0.6554952496688052,grdm,synthetic/rel-avito_ref35/sample120
AdsInfo,Price,4000,2,8,13,-1274.889211956639,-240563.079082568,-242535.65818472594,grdm,synthetic/rel-avito_ref35/sample120
VisitStream,ViewDate,4000,1,13,0,-0.07494300135932042,-0.1299192112025156,,grdm,synthetic/rel-avito_ref35/sample121
UserInfo,UserAgentID,1753,7,0,45,0.06380720271860396,,-0.15280626956360677,grdm,synthetic/rel-avito_ref35/sample121
VisitStream,IPID,4000,1,13,0,-0.05440722943567344,-0.12963986677772565,,grdm,synthetic/rel-avito_ref35/sample121
UserInfo,UserAgentFamilyID,2453,7,0,32,0.7561233415955613,,0.6125895576935334,grdm,synthetic/rel-avito_ref35/sample122
UserInfo,UserDeviceID,2453,7,0,32,-0.11845528546559736,,-0.1515155832617756,grdm,synthetic/rel-avito_ref35/sample122
SearchInfo,IPID,4000,2,16,0,-0.058875759118838245,-0.10249271707797925,,grdm,synthetic/rel-avito_ref35/sample122
SearchStream,SearchDate,2445,2,11,0,-0.007543410801207573,0.9984976303128534,,grdm,synthetic/rel-avito_ref35/sample123
SearchInfo,SearchDate,4000,2,16,16,-0.06219186554571632,-0.1444783319376468,0.05387302375809622,grdm,synthetic/rel-avito_ref35/sample123
VisitStream,ViewDate,4000,1,13,0,-0.060866120603802365,-0.09481751496039559,,grdm,synthetic/rel-avito_ref35/sample123
UserInfo,UserAgentFamilyID,2223,7,0,45,0.7456484536716241,,0.6600827004404901,grdm,synthetic/rel-avito_ref35/sample124
Location,CityID,508,4,0,35,0.03302410064749606,,-0.3957118626515612,grdm,synthetic/rel-avito_ref35/sample124
PhoneRequestsStream,IPID,1836,1,13,0,-0.05243613541407055,-0.1661201430732555,,grdm,synthetic/rel-avito_ref35/sample124
SearchStream,SearchDate,1797,2,11,0,-0.004439468192425133,0.9980440107524021,,grdm,synthetic/rel-avito_ref35/sample125
VisitStream,IPID,4000,1,13,0,-0.07341872950653827,-0.09282347054495843,,grdm,synthetic/rel-avito_ref35/sample125
PhoneRequestsStream,IPID,2043,1,13,0,-0.059149373775089664,-0.13628732504348506,,grdm,synthetic/rel-avito_ref35/sample125
AdsInfo,Price,4000,2,8,29,-0.017210481945313383,0.15289655403256153,-0.526121608544587,grdm,synthetic/rel-avito_ref35/sample126
UserInfo,UserAgentID,2216,7,0,32,0.12974719256833367,,-0.08367151653161287,grdm,synthetic/rel-avito_ref35/sample126
SearchInfo,IPID,4000,2,16,16,-0.0740653623085683,-0.0807960807328949,-0.06621001610226585,grdm,synthetic/rel-avito_ref35/sample126
SearchInfo,SearchDate,4000,2,16,0,-0.07989569240961814,-0.1369799230689468,,grdm,synthetic/rel-avito_ref35/sample127
SearchInfo,IPID,4000,2,16,0,-0.03799388757822153,-0.10969435565401153,,grdm,synthetic/rel-avito_ref35/sample127
PhoneRequestsStream,IPID,1163,1,13,0,-0.13692891805276952,-0.25509970585978836,,grdm,synthetic/rel-avito_ref35/sample127
PhoneRequestsStream,IPID,2103,1,13,0,-0.08061153813430777,-0.21324072319075826,,grdm,synthetic/rel-avito_ref35/sample128
UserInfo,UserAgentOSID,2524,7,0,45,0.7439652603914413,,0.6268642487067573,grdm,synthetic/rel-avito_ref35/sample128
UserInfo,UserAgentFamilyID,2524,7,0,45,0.7402877986774061,,0.6150240180494259,grdm,synthetic/rel-avito_ref35/sample128
VisitStream,IPID,4000,1,13,0,-0.05152067153961859,-0.10272945915520326,,grdm,synthetic/rel-avito_ref35/sample129
PhoneRequestsStream,PhoneRequestDate,1074,1,13,0,-0.06395452756223952,-0.25457306267818924,,grdm,synthetic/rel-avito_ref35/sample129
VisitStream,ViewDate,4000,1,13,0,-0.02922341310530885,-0.15818455803535403,,grdm,synthetic/rel-avito_ref35/sample129
PhoneRequestsStream,IPID,1839,1,13,0,-0.10864350808987489,-0.24978429359749987,,grdm,synthetic/rel-avito_ref35/sample13
UserInfo,UserAgentFamilyID,2394,7,0,45,0.6881794737842031,,0.6219217330420057,grdm,synthetic/rel-avito_ref35/sample13
SearchInfo,SearchDate,4000,2,16,16,-0.07643992440681258,-0.13803997749583408,0.05627198746916584,grdm,synthetic/rel-avito_ref35/sample13
PhoneRequestsStream,IPID,1860,1,13,0,-0.10347262713414263,-0.2419776450733646,,grdm,synthetic/rel-avito_ref35/sample130
AdsInfo,Price,4000,2,8,26,-0.00044387281058511086,0.009469975837604117,-0.004934632405173556,grdm,synthetic/rel-avito_ref35/sample130
Location,CityID,578,4,0,35,0.00834720056550875,,-0.21462034904891314,grdm,synthetic/rel-avito_ref35/sample130
SearchInfo,SearchDate,4000,2,16,16,-0.031220968979360997,-0.10075901449932934,0.08221019140366159,grdm,synthetic/rel-avito_ref35/sample131
Location,RegionID,495,4,0,35,0.015767691220204716,,-0.20903336792664318,grdm,synthetic/rel-avito_ref35/sample131
VisitStream,ViewDate,4000,1,13,0,-0.03487289216195877,-0.15474377565027497,,grdm,synthetic/rel-avito_ref35/sample131
UserInfo,UserAgentOSID,2162,7,0,45,0.7273335318081855,,0.6608411999412614,grdm,synthetic/rel-avito_ref35/sample132
UserInfo,UserAgentID,2162,7,0,45,0.09650871825620277,,-0.0658212303438046,grdm,synthetic/rel-avito_ref35/sample132
UserInfo,UserDeviceID,2162,7,0,45,0.13178104555180992,,0.027177291062483344,grdm,synthetic/rel-avito_ref35/sample132
UserInfo,UserAgentOSID,2519,7,0,45,0.8541292897673342,,0.7937283095342571,grdm,synthetic/rel-avito_ref35/sample133
VisitStream,IPID,4000,1,13,0,-0.06269089407191286,-0.12681822527374398,,grdm,synthetic/rel-avito_ref35/sample133
UserInfo,UserAgentFamilyID,2519,7,0,45,0.7599442726642655,,0.6397272665075404,grdm,synthetic/rel-avito_ref35/sample133
