model,block,stream,head,deviation_l2
plurel,9,col,3,0.5597540485518704
plurel,9,col,4,0.5016692412661894
plurel,9,col,5,0.5092583211123932
plurel,9,col,6,0.4852548230355044
plurel,9,col,7,0.5393522596427823
plurel,9,feat,0,0.4166713078558244
plurel,9,feat,1,0.408156771058516
plurel,9,feat,2,0.446068030783407
plurel,9,feat,3,0.40904827784592024
plurel,9,feat,4,0.3248925704334585
plurel,9,feat,5,0.47246092709197923
plurel,9,feat,6,0.5374136080454714
plurel,9,feat,7,0.4268151447708843
plurel,9,nbr,0,0.32903170197881815
plurel,9,nbr,1,0.37802562186012334
plurel,9,nbr,2,0.38250517186395794
plurel,9,nbr,3,0.30894341155077615
plurel,9,nbr,4,0.33058347615692957
plurel,9,nbr,5,0.4287804588482666
plurel,9,nbr,6,0.334395154619658
plurel,9,nbr,7,0.34309824202123157
plurel,10,col,0,0.5117680038160664
plurel,10,col,1,0.4985681760129398
plurel,10,col,2,0.5487695540537348
plurel,10,col,3,0.4814342861189594
plurel,10,col,4,0.5286593028327264
plurel,10,col,5,0.5618220886813058
plurel,10,col,6,0.5388788587710325
plurel,10,col,7,0.5328760436417169
plurel,10,feat,0,0.4756627148138219
plurel,10,feat,1,0.48651271595391316
plurel,10,feat,2,0.3742317884320047
plurel,10,feat,3,0.4129855347309987
plurel,10,feat,4,0.3448046063701482
plurel,10,feat,5,0.41927768620721245
plurel,10,feat,6,0.5204823006395102
plurel,10,feat,7,0.47808848799498865
plurel,10,nbr,0,0.3400727218673682
plurel,10,nbr,1,0.3551270760680612
plurel,10,nbr,2,0.30493370067673287
plurel,10,nbr,3,0.3616770193980266
plurel,10,nbr,4,0.27776923919839624
plurel,10,nbr,5,0.25190762175472925
plurel,10,nbr,6,0.30455595930584634
plurel,10,nbr,7,0.35742293811077164
plurel,11,col,0,0.5401292039303279
plurel,11,col,1,0.6284960421871549
plurel,11,col,2,0.5973820181853623
plurel,11,col,3,0.5972381232437228
plurel,11,col,4,0.6075858572494494
plurel,11,col,5,0.5634127403887086
plurel,11,col,6,0.563951378203312
plurel,11,col,7,0.6530444756062314
plurel,11,feat,0,0.4182864033791619
plurel,11,feat,1,0.46553585476034165
plurel,11,feat,2,0.4954487181577636
plurel,11,feat,3,0.45308622654733716
plurel,11,feat,4,0.4142723856102274
plurel,11,feat,5,0.4276446461732234
plurel,11,feat,6,0.4577487302248983
plurel,11,feat,7,0.5287986500827513
plurel,11,nbr,0,0.3417860601621551
plurel,11,nbr,1,0.2921343588060357
plurel,11,nbr,2,0.4035287900145283
plurel,11,nbr,3,0.32478423957436126
plurel,11,nbr,4,0.33202274816511473
plurel,11,nbr,5,0.3511508757154617
plurel,11,nbr,6,0.38369590172157236
plurel,11,nbr,7,0.37065232776032864
rdbpfn,0,col,0,0.5244361688085324
rdbpfn,0,col,1,0.5050892435547939
rdbpfn,0,col,2,0.6376791713944273
rdbpfn,0,col,3,0.6120228795746937
rdbpfn,0,col,4,0.5832621628197833
rdbpfn,0,col,5,0.6614784424771337
rdbpfn,0,col,6,0.6743647138900024
rdbpfn,0,col,7,0.5072052919953727
rdbpfn,0,feat,0,0.41580662828024073
rdbpfn,0,feat,1,0.42164853428392846
rdbpfn,0,feat,2,0.45312017816411565
rdbpfn,0,feat,3,0.4549098215237447
rdbpfn,0,feat,4,0.5116221613398636
rdbpfn,0,feat,5,0.3576648751198353
rdbpfn,0,feat,6,0.37021609220342055
rdbpfn,0,feat,7,0.41254331693648955
rdbpfn,0,nbr,0,0.432642232027892
rdbpfn,0,nbr,1,0.49882463052193277
rdbpfn,0,nbr,2,0.5032837001405733
rdbpfn,0,nbr,3,0.4647430703581219
rdbpfn,0,nbr,4,0.45499939503537823
rdbpfn,0,nbr,5,0.46673985057138695
rdbpfn,0,nbr,6,0.5138078299341373
rdbpfn,0,nbr,7,0.462092760211408
rdbpfn,1,col,0,0.5906756515582001
rdbpfn,1,col,1,0.5794345869514285
rdbpfn,1,col,2,0.6755205324025735
rdbpfn,1,col,3,0.6917419884618956
rdbpfn,1,col,4,0.6599650472900818
rdbpfn,1,col,5,0.5842043149903811
rdbpfn,1,col,6,0.6488186193064984
rdbpfn,1,col,7,0.43920585033237936
rdbpfn,1,feat,0,0.5223215327157975
rdbpfn,1,feat,1,0.37600982568415076
rdbpfn,1,feat,2,0.4191535374446925
rdbpfn,1,feat,3,0.39235232155467176
rdbpfn,1,feat,4,0.4329309746340113
rdbpfn,1,feat,5,0.4628602834809228
rdbpfn,1,feat,6,0.4723586848210617
rdbpfn,1,feat,7,0.6498727025037107
rdbpfn,1,nbr,0,0.4452150723472857
rdbpfn,1,nbr,1,0.48749557227178025
rdbpfn,1,nbr,2,0.40033051341933623
rdbpfn,1,nbr,3,0.424188647334974
rdbpfn,1,nbr,4,0.4077497592983202
rdbpfn,1,nbr,5,0.3980779661889569
rdbpfn,1,nbr,6,0.3837250906163098
rdbpfn,1,nbr,7,0.4121911794817826
rdbpfn,2,col,0,0.5548258864014831
rdbpfn,2,col,1,0.48188375275204226
rdbpfn,2,col,2,0.6702502810894876
rdbpfn,2,col,3,0.5117063539037316
rdbpfn,2,col,4,0.6165178474724397
rdbpfn,2,col,5,0.6079483939404925
rdbpfn,2,col,6,0.5177654916879577
rdbpfn,2,col,7,0.5402322978754169
rdbpfn,2,feat,0,0.48529217201235364
rdbpfn,2,feat,1,0.36842473310897855
rdbpfn,2,feat,2,0.35162613080945054
rdbpfn,2,feat,3,0.4415601719385209
rdbpfn,2,feat,4,0.4131221259387947
rdbpfn,2,feat,5,0.3636673495772194
rdbpfn,2,feat,6,0.40063451689085366
rdbpfn,2,feat,7,0.41407260792468586
rdbpfn,2,nbr,0,0.42618626833350476
rdbpfn,2,nbr,1,0.42355387687869395
rdbpfn,2,nbr,2,0.3714021956864836
rdbpfn,2,nbr,3,0.4195716129009714
rdbpfn,2,nbr,4,0.3841663234153022
rdbpfn,2,nbr,5,0.37157027116931163
rdbpfn,2,nbr,6,0.4057934492720924
rdbpfn,2,nbr,7,0.368341011305638
rdbpfn,3,col,0,0.47655043039515593
rdbpfn,3,col,1,0.5463035953213009
rdbpfn,3,col,2,0.6054402375429604
rdbpfn,3,col,3,0.7370131440412347
rdbpfn,3,col,4,0.514082512422508
rdbpfn,3,col,5,0.5874507230906453
rdbpfn,3,col,6,0.47164503211110315
rdbpfn,3,col,7,0.6084974462487696
rdbpfn,3,feat,0,0.3986876020669096
rdbpfn,3,feat,1,0.39314528911736796
rdbpfn,3,feat,2,0.37191804638726067
rdbpfn,3,feat,3,0.5789353468245526
rdbpfn,3,feat,4,0.42149364710482584
rdbpfn,3,feat,5,0.45496093075951144
rdbpfn,3,feat,6,0.5377529173013287
rdbpfn,3,feat,7,0.5452318232955288
rdbpfn,3,nbr,0,0.38998250813948465
rdbpfn,3,nbr,1,0.45258620719995796
rdbpfn,3,nbr,2,0.4146478896422682
rdbpfn,3,nbr,3,0.4025170360463599
rdbpfn,3,nbr,4,0.36152034234731867
rdbpfn,3,nbr,5,0.4044003193046562
rdbpfn,3,nbr,6,0.411078617121172
rdbpfn,3,nbr,7,0.36883931250271496
rdbpfn,4,col,0,0.5303700747170209
rdbpfn,4,col,1,0.5697462916104967
rdbpfn,4,col,2,0.5394645483919223
rdbpfn,4,col,3,0.4598679013120427
rdbpfn,4,col,4,0.5418431601250259
rdbpfn,4,col,5,0.5741393121929371
rdbpfn,4,col,6,0.6466542421275758
rdbpfn,4,col,7,0.4467247311824468
rdbpfn,4,feat,0,0.4472432172567738
rdbpfn,4,feat,1,0.4123991245954407
rdbpfn,4,feat,2,0.42997004366159614
