model,stream,deviation_l2,deviation_rms
grdm,encoders,1.9547202587127686,0.0043856479923694
grdm,decoders,0.05584743246436119,0.000177084751939013
grdm,col,6.101207256317139,0.0034395544274916762
grdm,feat,7.17899751663208,0.0040471584812525685
grdm,nbr,5.550626754760742,0.0031291647747130205
grdm,ffn,10.828034400939941,0.0035247507815559707
grdm,norms,0.0,0.0
grdm,mask_embs,0.006840280257165432,0.00021375875803641975
plurel,encoders,1.0452088117599487,0.0023450506058193964
plurel,decoders,0.05469769239425659,0.00017343907968292953
plurel,col,5.132296085357666,0.002893330939596026
plurel,feat,4.6752753257751465,0.0026356855735170286
plurel,nbr,3.8985438346862793,0.002197803343507425
plurel,ffn,7.693123817443848,0.0025042720759908357
plurel,norms,0.0,0.0
plurel,mask_embs,0.005931126419454813,0.0001853477006079629
rdbpfn,encoders,1.0299943685531616,0.0023109151882283368
rdbpfn,decoders,0.051342085003852844,0.00016279889666800633
rdbpfn,col,5.573470592498779,0.0031420429838824294
rdbpfn,feat,4.353907585144043,0.002454514571008267
rdbpfn,nbr,3.7998785972595215,0.0021421808347196194
rdbpfn,ffn,7.510265350341797,0.0024447478353977203
rdbpfn,norms,0.0,0.0
rdbpfn,mask_embs,0.003770305775105953,0.00011782205547206104
reldiff,encoders,1.6445190906524658,0.0036896746816767545
reldiff,decoders,0.04933120682835579,0.00015642267045358347
reldiff,col,5.366286277770996,0.003025242865956435
reldiff,feat,5.8806328773498535,0.003315205663403614
reldiff,nbr,6.4254841804504395,0.0036223654816451368
reldiff,ffn,9.49092960357666,0.0030894953136642775
reldiff,norms,0.0,0.0
reldiff,mask_embs,0.008527791127562523,0.00026649347273632884
