model,head,loss,delta,status
reldiff,-1,0.2576497395833333,0.0,ok
reldiff,0,0.2896995544433594,0.03204981486002606,ok
reldiff,1,0.25890477498372394,0.001255035400390625,ok
reldiff,2,0.2726593017578125,0.015009562174479185,ok
reldiff,3,0.2683219909667969,0.01067225138346356,ok
reldiff,4,0.2677421569824219,0.01009241739908856,ok
reldiff,5,0.2544809977213542,-0.0031687418619791297,ok
reldiff,6,0.2639058430989583,0.006256103515625,ok
reldiff,7,0.26353200276692706,0.00588226318359375,ok
grdm,-1,0.354400634765625,0.0,ok
grdm,0,0.3522847493489583,-0.002115885416666685,ok
grdm,1,0.3548329671223958,0.00043233235677081483,ok
grdm,2,0.3525644938151042,-0.0018361409505208148,ok
grdm,3,0.3554738362630208,0.0010732014973958148,ok
grdm,4,0.3545176188151042,0.00011698404947918517,ok
grdm,5,0.35284423828125,-0.001556396484375,ok
grdm,6,0.3565572102864583,0.002156575520833315,ok
grdm,7,0.3538258870442708,-0.0005747477213541852,ok
plurel,-1,0.1902745564778646,0.0,ok
plurel,0,0.18992996215820312,-0.0003445943196614676,ok
plurel,1,0.1905390421549479,0.00026448567708331483,ok
plurel,2,0.18901189168294272,-0.001262664794921875,ok
plurel,3,0.19018427530924478,-9.028116861981017e-05,ok
plurel,4,0.19094085693359375,0.0006663004557291574,ok
plurel,5,0.1884943644205729,-0.0017801920572916852,ok
plurel,6,0.19073994954427084,0.00046539306640625,ok
plurel,7,0.19025548299153647,-1.9073486328125e-05,ok
rdbpfn,-1,0.23418362935384116,0.0,ok
rdbpfn,0,0.23354609807332358,-0.0006375312805175781,ok
rdbpfn,1,0.23544534047444662,0.0012617111206054688,ok
rdbpfn,2,0.23374454180399576,-0.0004390875498453961,ok
rdbpfn,3,0.23449933528900146,0.00031570593516030976,ok
rdbpfn,4,0.23516050974527994,0.0009768803914387836,ok
rdbpfn,5,0.23427041371663412,8.678436279296875e-05,ok
rdbpfn,6,0.23414834340413412,-3.528594970703125e-05,ok
rdbpfn,7,0.2353180249532064,0.0011343955993652344,ok
